Country Name,Capital,Region,Population
Algeria,Algiers,North Africa," 43,000,420 "
Angola,Luanda,Southern Africa," 24,383,301 "
Benin,Porto-Novo,West Africa," 10,008,749 "
Botswana,Gaborone,Southern Africa," 2,024,904 "
Burkina Faso,Ouagadougou,West Africa," 18,450,494 "
Burundi,Bujumbura,Central Africa," 9,823,828 "
Cameroon,Yaounde,Central Africa," 21,917,602 "
Cape Verde,Praia,West Africa," 491,875 "
Central African Republic,Bangui,Central Africa," 3,859,139 "
Chad,N'Djamena,Central Africa," 11,039,873 "
Comoros,Moroni,East Africa," 806,200 "
Cote d'Ivoire,Yamoussoukro,West Africa," 22,671,331 "
Democratic Republic of the Congo,Kinshasa,Central Africa," 89,561,403 "
Djibouti,Djibouti,East Africa," 864,618 "
Egypt,Cairo,North Africa," 102,334,404 "
Equatorial Guinea,Malabo,Central Africa," 1,222,442 "
Eritrea,Asmara,East Africa," 6,536,000 "
Eswantini,Mbabane,Southern Africa," 1,119,375 "
Ethiopia,Addis Ababa,East Africa," 114,963,588 "
Gabon,Libreville,Central Africa," 1,802,278 "
Gambia,Banjul,West Africa," 1,882,450 "
Ghana,Accra,West Africa," 31,072,940 "
Guinea,Conakry,West Africa," 10,628,972 "
Guinea-Bissau,Bissau,West Africa," 1,530,673 "
Kenya,Nairobi,East Africa," 53,714,296 "
Lesotho,Maseru,Southern Africa," 1,894,194 "
Liberia,Monrovia,West Africa," 3,476,608 "
Libya,Tripoli,North Africa," 5,298,152 "
Madagascar,Antananarivo,East Africa," 22,434,363 "
Malawi,Lilongwe,Southern Africa," 16,832,900 "
Mali,Bamako,West Africa," 14,528,662 "
Mauritania,Nouakchott,North Africa," 3,718,678 "
Mauritius,Port Louis,East Africa," 1,261,208 "
Morocco,Rabat,North Africa," 35,795,289 "
Mozambique,Maputo,Southern Africa," 28,013,000 "
Namibia,Windhoek,Southern Africa," 2,280,700 "
Niger,Niamey,West Africa," 17,138,707 "
Nigeria,Abuja,West Africa," 206,139,589 "
Republic of Congo,Brazzaville,Central Africa," 3,697,490 "
Rwanda,Kigali,East Africa," 10,515,973 "
Sao Tome and Principe,Sao Tome,Central Africa," 201,784 "
Senegal,Dakar,West Africa," 14,354,690 "
Seychelles,Victoria,East Africa," 90,945 "
Sierra Leone,Freetown,West Africa," 6,348,350 "
Somalia,Mogadishu,East Africa," 22,316,895 "
South Africa,Pretoria,Southern Africa," 59,622,350 "
South Sudan,Juba,East Africa," 8,260,490 "
Sudan,Khartoum,East Africa," 42,268,269 "
Tanzania,Dar es Salaam,East Africa," 59,734,218 "
Togo,Lome,West Africa," 6,191,155 "
Tunisia,Tunis,North Africa," 10,982,754 "
Uganda,Kampala,East Africa," 45,741,007 "
Western Sahara,El-Aaiún,North Africa," 510,713 "
Zambia,Lusaka,Southern Africa," 15,473,905 "
Zimbabwe,Harare,Southern Africa," 13,061,239 "
